Sample #,Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,Corresponding Table,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
,HU_D25,Horse Up ,12/6/2025,12:05 PM,"TN, RV, KW, ZW",Stream,13-Site,,42.1,527.5,485.4,Yes,Yes,Yes,Yes,Yes,Yes,2421,,,,2/15/2026,RV_PFAS_02202026,0.01 bdl,0.12 bdl,0.11 bdl,0.32 bdl,0.02 bdl,1.42 bdl,0.02 bdl,0.00 bdl,0.00 bdl,0.14 bdl,0.14 bdl,0.10 bdl,0.23 bdl,0.06 bdl,0.14 bdl,0.34 bdl,0.17 bdl,3.03 bdl,5.3,0.07 bdl,0.04 bdl,0.00 bdl,0.03 bdl,0.01 bdl,0.86 bdl,0.07 bdl,1.77 bdl,0.92 bdl,0.02 bdl,0.01 bdl,0.63 bdl,0.01 bdl,1.91 bdl,1.38 bdl,0.24 bdl,1.31 bdl,0.21 bdl,0.02 bdl,0.01 bdl,0.06 bdl
,TBU_D25,Tan Brook Up ,12/6/2025,12:29 PM,"TN, RV, KW, ZW",Stream,13-Site,,41.4,527.6,486.2,Yes,Yes,Yes,Yes,Yes,Yes,2420,,,,2/15/2026,RV_PFAS_02202026,0.00 bdl,0.46 bdl,0.06 bdl,0.98 bdl,0.04 bdl,0.56 bdl,0.00 bdl,0.01 bdl,0.01 bdl,0.05 bdl,0.16 bdl,0.24 bdl,0.23 bdl,0.08 bdl,0.14 bdl,0.29 bdl,0.19 bdl,4.60 bdl,6.52,0.22 bdl,0.03 bdl,0.00 bdl,0.01 bdl,0.01 bdl,2.53,0.18 bdl,4.87,2.3,0.01 bdl,0.01 bdl,0.91 bdl,0.04 bdl,7.5,4.96,0.45 bdl,4.42,0.41 bdl,0.03 bdl,0.01 bdl,0.03 bdl
,CPU_D25,Campus Pond Up,12/6/2025,12:45 PM,"TN, RV, KW, ZW",Stream,13-Site,,42.2,496.2,454,Yes,Yes,Yes,Yes,Yes,Yes,2416,,,,2/15/2026,RV_PFAS_02202026,0.00 bdl,0.12 bdl,0.06 bdl,0.26 bdl,0.03 bdl,0.87 bdl,0.02 bdl,0.01 bdl,0.00 bdl,0.17 bdl,0.24 bdl,0.19 bdl,0.29 bdl,0.07 bdl,0.18 bdl,0.50 bdl,0.25 bdl,4.00 bdl,6.1,0.34 bdl,0.10 bdl,0.01 bdl,0.09 bdl,0.01 bdl,2.61,0.13 bdl,6.67,2.3,0.02 bdl,0.02 bdl,1.43 bdl,0.02 bdl,8.02,5.86,0.64 bdl,5.53,0.32 bdl,0.06 bdl,0.07 bdl,0.14 bdl
,TBD_D25,Tan Brook Down,12/6/2025,10:50 AM,"TN, RV, KW, ZW",Stream,13-Site,,41.3,533,491.7,Yes,Yes,Yes,Yes,Yes,Yes,2419,,,,2/15/2026,RV_PFAS_02202026,0.00 bdl,0.20 bdl,0.05 bdl,0.71 bdl,0.06 bdl,1.03 bdl,0.02 bdl,0.01 bdl,0.01 bdl,0.10 bdl,0.20 bdl,0.12 bdl,0.31 bdl,0.09 bdl,0.17 bdl,0.26 bdl,0.24 bdl,4.69 bdl,4.08,0.23 bdl,0.05 bdl,0.01 bdl,0.06 bdl,0.01 bdl,3.01,0.24 bdl,7.25,2.43,0.00 bdl,0.01 bdl,1.12 bdl,0.02 bdl,8.06,5.5,1.55 bdl,6.29,0.34 bdl,0.06 bdl,0.03 bdl,0.03 bdl
,WC_D25,Wet Center,12/6/2025,11:10 AM,"TN, RV, KW, ZW",Stream,13-Site,,42.2,523.4,481.2,Yes,Yes,Yes,Yes,Yes,Yes,2417,,,,2/15/2026,RV_PFAS_02202026,0.00 bdl,0.00 bdl,0.10 bdl,0.98 bdl,0.95 bdl,0.18 bdl,0.04 bdl,0.00 bdl,0.01 bdl,0.08 bdl,0.23 bdl,0.10 bdl,0.39 bdl,0.07 bdl,0.23 bdl,0.39 bdl,0.33 bdl,2.71 bdl,1.07 bdl,0.08 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.01 bdl,1.57 bdl,0.04 bdl,3.52,0.81 bdl,0.01 bdl,0.00 bdl,0.47 bdl,0.01 bdl,2.8,1.35 bdl,0.48 bdl,3.32 bdl,0.10 bdl,0.02 bdl,0.01 bdl,0.00 bdl
,B1_215,Blank,2/15/2026,,RV,MilliQ,Blank,Dec2025 samples,42,541.8,499.8,,,,,,Yes,,,,,2/15/2026,RV_PFAS_02202026,0.01 bdl,0.02 bdl,0.03 bdl,0.19 bdl,0.03 bdl,0.42 bdl,0.06 bdl,0.00 bdl,0.01 bdl,0.04 bdl,0.17 bdl,0.10 bdl,0.28 bdl,0.05 bdl,0.14 bdl,0.20 bdl,0.23 bdl,0.15 bdl,0.04 bdl,0.02 bdl,0.01 bdl,0.00 bdl,0.02 bdl,0.00 bdl,0.04 bdl,0.02 bdl,0.05 bdl,0.16 bdl,0.04 bdl,0.00 bdl,0.19 bdl,0.03 bdl,0.20 bdl,0.18 bdl,0.05 bdl,0.05 bdl,0.01 bdl,0.01 bdl,0.01 bdl,0.01 bdl
,B2_215,Blank,2/15/2026,,RV,MilliQ,Blank,Dec2025 samples,41.99,542.2,500.21,,,,,,Yes,,,,,2/15/2026,RV_PFAS_02202026,0.00 bdl,0.08 bdl,0.03 bdl,0.26 bdl,0.03 bdl,0.41 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.08 bdl,0.24 bdl,0.07 bdl,0.20 bdl,0.06 bdl,0.14 bdl,0.25 bdl,0.18 bdl,0.16 bdl,0.02 bdl,0.03 bdl,0.02 bdl,0.02 bdl,0.01 bdl,0.00 bdl,0.04 bdl,0.04 bdl,0.04 bdl,0.19 bdl,0.07 bdl,0.01 bdl,0.18 bdl,0.00 bdl,0.22 bdl,0.24 bdl,0.05 bdl,0.11 bdl,0.01 bdl,0.02 bdl,0.02 bdl,0.02 bdl
,WC_13,Wet Center,12/12/2025,10:40 AM,"RV, KW",Stream,Baseflow,,41.58,553.46,511.88,Yes,Yes,Yes,Yes,Yes,,2432,-55.66,-8.57,-4.62,6/18/2026,RV_PFAS_07082026,0.00 bdl,0.17 bdl,0.00 bdl,0.59 bdl,0.38 bdl,0.41 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.05 bdl,0.26 bdl,0.08 bdl,0.25 bdl,0.06 bdl,0.22 bdl,0.31 bdl,0.31 bdl,0.41 bdl,1.18,0.17 bdl,0.07 bdl,0.00 bdl,0.02 bdl,0.00 bdl,1.84,0.06 bdl,4.6,0.83 bdl,0.01 bdl,0.01 bdl,0.58 bdl,0.01 bdl,3.32,1.91,0.79 bdl,4.19,0.07 bdl,0.03 bdl,0.03 bdl,0.08 bdl
,,WC Upstream,12/12/2025,10:49 AM,"RV,KW",Stream,Baseflow,,,,,Yes,Yes,Yes,Yes,Yes,,2433,-54.68,-8.47,-4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WC_14,Wet Center,12/19/2025,9:56 AM,"KW, ZW",Stream,Baseflow,,41.83,561.7,519.87,Yes,Yes,Yes,Yes,Yes,Yes,2434,-54.77,-8.57,-4.95,6/18/2026,RV_PFAS_07082026,0.00 bdl,0.47 bdl,0.00 bdl,0.20 bdl,0.67 bdl,0.06 bdl,0.01 bdl,0.01 bdl,0.01 bdl,0.06 bdl,0.31 bdl,0.16 bdl,0.42 bdl,0.08 bdl,0.30 bdl,0.32 bdl,0.33 bdl,0.62 bdl,1.2,0.31 bdl,0.15 bdl,0.01 bdl,0.01 bdl,0.00 bdl,2.39,0.08 bdl,6.52,0.87 bdl,0.01 bdl,0.01 bdl,0.79 bdl,0.02 bdl,3.94,1.94,1.57,4.87,0.17 bdl,0.03 bdl,0.02 bdl,0.11 bdl
,,WC Upstream,12/19/2025,10:05 AM,"KW, ZW",Stream,Baseflow,,41.91,555.3,513.39,Yes,Yes,Yes,Yes,Yes,Yes,2435,-54.94,-8.42,-4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WC_15,Wet Center,1/10/2026,1:38 PM,"RV, KW",Stream,Baseflow,,42.78,573.97,531.19,Yes,Yes,Yes,Yes,Yes,,2434,-54.77,-8.57,-4.95,6/18/2026,RV_PFAS_07082026,0.00 bdl,0.10 bdl,0.00 bdl,0.41 bdl,0.19 bdl,0.16 bdl,0.00 bdl,0.00 bdl,0.00 bdl,0.06 bdl,0.61 bdl,0.16 bdl,0.49 bdl,0.07 bdl,0.42 bdl,0.43 bdl,0.51 bdl,0.34 bdl,1.05,0.09 bdl,0.05 bdl,0.02 bdl,0.01 bdl,0.01 bdl,1.6,0.04 bdl,3.43,0.58 bdl,0.01 bdl,0.01 bdl,0.54 bdl,0.00 bdl,2.78,1.28,0.95 bdl,3.22,0.07 bdl,0.04 bdl,0.01 bdl,0.03 bdl
,,WC Upstream,1/10/2026,1:33 PM,"RV, KW",Stream,Baseflow,,42.23,,,Yes,Yes,Yes,Yes,Yes,,2435,-54.94,-8.42,-4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eastman Up,1/15/2026,10:13 AM,"RV,KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Horse Down,1/15/2026,1:44 PM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mill Site,1/15/2026,11:27 AM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Knightly,1/15/2026,10:47 AM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tan Brook Up ,1/15/2026,12:02 PM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Doolittle,1/15/2026,9:50 AM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eastman Down,1/15/2026,10:30 AM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Horse Up ,1/15/2026,10:43 AM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lake Warner Outlet,1/15/2026,11:11 AM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Roaring,1/15/2026,9:30 AM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tan Brook Down,1/15/2026,1:25 PM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Campus Pond Down,1/15/2026,2:13 PM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Campus Pond Up,1/15/2026,1:58 PM,"RV, KW",Stream,13-Site,,,,,Yes,Yes,Yes,Yes,Yes,,2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BF_0120,Wet Center,1/20/2026,2:12 PM,RV,Stream,Baseflow,,41.77,552.9,511.13,Yes,Yes,Yes,Yes,Yes,Yes,Missing?,,,,1/28/2025,RV_PFAS_02202026,0.00 bdl,0.00 bdl,0.05 bdl,0.16 bdl,3.58 bdl,0.67 bdl,0.07 bdl,0.01 bdl,0.00 bdl,0.13 bdl,0.44 bdl,0.11 bdl,0.42 bdl,0.04 bdl,0.27 bdl,0.41 bdl,0.33 bdl,1.61 bdl,1.05 bdl,0.03 bdl,0.02 bdl,0.00 bdl,0.00 bdl,0.00 bdl,1.07 bdl,0.03 bdl,2.53,0.67 bdl,0.01 bdl,0.01 bdl,0.42 bdl,0.01 bdl,2.59,1.22 bdl,0.17 bdl,2.65 bdl,0.08 bdl,0.02 bdl,0.00 bdl,0.02 bdl
,WC_16,Wet Center,1/23/2026,4:18,RV,Stream,Baseflow,,41.5,587.28,545.78,Yes,Yes,Yes,Yes,Yes,,Missing?,,,,6/18/2026,RV_PFAS_07082026,0.00 bdl,0.08 bdl,0.00 bdl,0.52 bdl,0.30 bdl,0.05 bdl,0.00 bdl,0.00 bdl,0.01 bdl,0.05 bdl,0.25 bdl,0.11 bdl,0.23 bdl,0.06 bdl,0.20 bdl,0.30 bdl,0.27 bdl,0.14 bdl,1.05,0.05 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.01 bdl,1.59,0.01 bdl,3.51,0.62 bdl,0.01 bdl,0.01 bdl,0.39 bdl,0.02 bdl,2.77,1.33,0.69 bdl,3.18,0.13 bdl,0.08 bdl,0.02 bdl,0.02 bdl
,WC_B3,Blank,6/18/2026,9:47,RV,MilliQ,Blank,SPE blank. for wc RUN 3,42.19,542.14,499.95,,,,,,,,,,,6/18/2026,RV_PFAS_07082026,0.00 bdl,0.00 bdl,0.00 bdl,0.13 bdl,0.12 bdl,0.20 bdl,0.05 bdl,0.00 bdl,0.00 bdl,0.03 bdl,0.38 bdl,0.08 bdl,0.28 bdl,0.09 bdl,0.27 bdl,0.24 bdl,0.29 bdl,0.02 bdl,0.01 bdl,0.02 bdl,0.04 bdl,0.01 bdl,0.01 bdl,0.00 bdl,0.04 bdl,0.02 bdl,0.06 bdl,0.18 bdl,0.09 bdl,0.01 bdl,0.29 bdl,0.01 bdl,0.25 bdl,0.23 bdl,0.08 bdl,0.07 bdl,0.02 bdl,0.02 bdl,0.02 bdl,0.02 bdl
,WC_B4,Blank,6/18/2026,9:47,RV,MilliQ,Blank,SPE blank. for wc RUN 4,41.1,541.48,500.38,,,,,,,,,,,6/23/2026,RV_PFAS_07082026,0.00 bdl,0.01 bdl,0.00 bdl,0.07 bdl,0.15 bdl,0.03 bdl,0.00 bdl,0.00 bdl,0.01 bdl,0.03 bdl,0.35 bdl,0.16 bdl,0.22 bdl,0.08 bdl,0.23 bdl,0.34 bdl,0.23 bdl,0.16 bdl,0.02 bdl,0.02 bdl,0.00 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.07 bdl,0.00 bdl,0.05 bdl,0.35 bdl,0.03 bdl,0.01 bdl,0.24 bdl,0.00 bdl,0.26 bdl,0.28 bdl,0.07 bdl,0.05 bdl,0.01 bdl,0.00 bdl,0.04 bdl,0.02 bdl
,WC_B5,Blank,6/25/2026,11:00,RV,MilliQ,Blank,SPE blank. for wc RUN 5 (WC 23 - 29),,,,,,,,,,,,,,Shealyn run while RV on ECU trip,RV_PFAS_07082026,0.00 bdl,0.00 bdl,0.00 bdl,0.24 bdl,0.08 bdl,0.04 bdl,0.01 bdl,0.00 bdl,0.00 bdl,0.02 bdl,0.20 bdl,0.08 bdl,0.16 bdl,0.07 bdl,0.15 bdl,0.20 bdl,0.17 bdl,0.10 bdl,0.01 bdl,0.02 bdl,0.01 bdl,0.02 bdl,0.00 bdl,0.00 bdl,0.06 bdl,0.01 bdl,0.05 bdl,0.19 bdl,0.03 bdl,0.01 bdl,0.13 bdl,0.00 bdl,0.18 bdl,0.23 bdl,0.05 bdl,0.06 bdl,0.01 bdl,0.01 bdl,0.02 bdl,0.04 bdl
,WC_20,Wet Center,1/29/2026,9:30,RV,Stream,Baseflow,,41.5,567.61,526.11,Yes,Yes,Yes,Yes,Yes,,2451,-5.58E+01,-8.70E+00,-4.634273,6/23/2026,RV_PFAS_07082026,0.00 bdl,0.08 bdl,0.00 bdl,0.57 bdl,0.42 bdl,0.10 bdl,0.05 bdl,0.00 bdl,0.01 bdl,0.06 bdl,0.17 bdl,0.17 bdl,0.21 bdl,0.09 bdl,0.13 bdl,0.26 bdl,0.15 bdl,0.09 bdl,1.18,0.04 bdl,0.04 bdl,0.00 bdl,0.02 bdl,0.00 bdl,1.41,0.04 bdl,2.69,0.75 bdl,0.00 bdl,0.00 bdl,0.40 bdl,0.01 bdl,2.52,1.19,0.38 bdl,2.49,0.04 bdl,0.02 bdl,0.06 bdl,0.02 bdl
,,Eastman Down,2/21/2026,12:21,"RV, OW",Stream,13-Site,Bad day! snow made it so that very few sites were actually accessible,41.58,,,,,,,,,2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Knightly,2/21/2026,12:40,"RV, OW",Stream,13-Site,The tare weight wasn't taken for each bottle. Assuming the mean weight...,41.58,,,,,,,,,2458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tan Brook Up ,2/21/2026,,"TN, SH, JC",Stream,13-Site,Asumption. Tare weight,41.58,,,,,,,,,2461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wet Center,2/21/2026,11:04,"RV, OW",Stream,13-Site,Asumption. Tare weight,41.58,,,,,,,,,2455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tan Brook Down,2/21/2026,,"TN, SH, JC",Stream,13-Site,Asumption. Tare weight,41.58,,,,,,,,,2462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eastman Up,2/21/2026,11:56,"RV, OW",Stream,13-Site,Asumption. Tare weight,41.58,,,,,,,,,2456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Campus Pond Up,2/21/2026,,"TN, SH, JC",Stream,13-Site,Asumption. Tare weight,41.58,,,,,,,,,2465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lake Warner Outlet,2/21/2026,,"TN, SH, JC",Stream,13-Site,Asumption. Tare weight,41.58,,,,,,,,,2460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mill Site,2/21/2026,12:59,"RV, OW",Stream,13-Site,Asumption. Tare weight,41.58,,,,,,,,,2459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B1_225,Blank,2/25/2026,,RV,MilliQ,Blank,SPE blank. for samples SE16_2 through 8.,41.8,540.2,498.4,,,,,,Yes,,,,,,RV_PFAS_03122026,0.01 bdl,0.11 bdl,0.00 bdl,0.28 bdl,0.05 bdl,1.01 bdl,0.07 bdl,0.00 bdl,0.01 bdl,0.08 bdl,0.22 bdl,0.12 bdl,0.36 bdl,0.07 bdl,0.19 bdl,0.22 bdl,0.25 bdl,0.21 bdl,0.01 bdl,0.01 bdl,0.01 bdl,0.00 bdl,0.02 bdl,0.01 bdl,0.03 bdl,0.02 bdl,0.11 bdl,0.37 bdl,0.02 bdl,0.01 bdl,0.26 bdl,0.04 bdl,0.21 bdl,0.51 bdl,0.03 bdl,0.07 bdl,0.02 bdl,0.01 bdl,0.02 bdl,0.03 bdl
,WC_21,Wet Center,2/27/2026,8:30 AM,RV,Stream,Baseflow,,42,568.85,526.85,Yes,Yes,,,,,2467,,,,6/23/2026,RV_PFAS_07082026,0.00 bdl,0.08 bdl,0.00 bdl,0.87 bdl,1.81 bdl,0.06 bdl,0.01 bdl,0.01 bdl,0.00 bdl,0.05 bdl,0.21 bdl,0.12 bdl,0.16 bdl,0.05 bdl,0.19 bdl,0.24 bdl,0.20 bdl,0.28 bdl,1.3,0.05 bdl,0.01 bdl,0.00 bdl,0.01 bdl,0.00 bdl,2.1,0.08 bdl,4.42,0.57 bdl,0.00 bdl,0.01 bdl,0.48 bdl,0.00 bdl,3.44,1.37,0.25 bdl,4.23,0.15 bdl,0.03 bdl,0.03 bdl,0.03 bdl
,B1_306,Blank,3/6/2026,,RV,MilliQ,Blank,SPE blank. for samples SE16_9 through 15.,42.42,539.31,496.89,,,,,,Yes,,,,,,RV_PFAS_03122026,0.00 bdl,0.06 bdl,0.00 bdl,0.03 bdl,0.14 bdl,0.14 bdl,0.01 bdl,0.00 bdl,0.01 bdl,0.06 bdl,0.16 bdl,0.15 bdl,0.29 bdl,0.04 bdl,0.20 bdl,0.32 bdl,0.22 bdl,0.14 bdl,0.01 bdl,0.04 bdl,0.03 bdl,0.00 bdl,0.03 bdl,0.00 bdl,0.05 bdl,0.01 bdl,0.04 bdl,0.34 bdl,0.01 bdl,0.01 bdl,0.19 bdl,0.01 bdl,0.21 bdl,0.40 bdl,0.03 bdl,0.05 bdl,0.02 bdl,0.02 bdl,0.04 bdl,0.01 bdl
,B1_307,Blank,3/7/2026,,RV,MilliQ,Blank,SPE blank. for samples SE16_16 through 20.,42.1,538.1,496,,,,,,Yes,,,,,,RV_PFAS_03122026,0.00 bdl,0.11 bdl,0.00 bdl,0.19 bdl,0.02 bdl,0.26 bdl,0.00 bdl,0.01 bdl,0.00 bdl,0.06 bdl,0.19 bdl,0.15 bdl,0.31 bdl,0.05 bdl,0.24 bdl,0.29 bdl,0.24 bdl,0.01 bdl,0.02 bdl,0.06 bdl,0.03 bdl,0.00 bdl,0.03 bdl,0.00 bdl,0.02 bdl,0.06 bdl,0.05 bdl,0.23 bdl,0.01 bdl,0.01 bdl,0.15 bdl,0.01 bdl,0.28 bdl,0.46 bdl,0.05 bdl,0.05 bdl,0.01 bdl,0.01 bdl,0.01 bdl,0.00 bdl
,WC_23,Wet Center,3/4/2026,9:55 AM,RV,Stream,Baseflow,Snowed in the morning ,42,563.4,521.4,Yes,Yes,,,,,2468,,,,Shealyn run while RV on ECU trip,RV_PFAS_07082026,0.00 bdl,0.19 bdl,0.00 bdl,0.26 bdl,1.43 bdl,0.29 bdl,0.05 bdl,0.00 bdl,0.01 bdl,0.11 bdl,0.21 bdl,0.07 bdl,0.25 bdl,0.07 bdl,0.16 bdl,0.30 bdl,0.23 bdl,1.40 bdl,1.11,0.10 bdl,0.01 bdl,0.00 bdl,0.01 bdl,0.00 bdl,1.49,0.04 bdl,2.94,0.64 bdl,0.01 bdl,0.00 bdl,0.54 bdl,0.01 bdl,3.1,1.26,3.06,2.8,0.16 bdl,0.02 bdl,0.04 bdl,0.02 bdl
,WC_22,Wet Center,3/4/2026,12:21 PM,"RV, JC, OW",Stream,Baseflow,Rapid snow melt,41.99,568.88,526.89,Yes,Yes,,,,,2469,,,,6/23/2026,RV_PFAS_07082026,0.00 bdl,0.09 bdl,0.00 bdl,0.88 bdl,2.52 bdl,0.20 bdl,0.05 bdl,0.00 bdl,0.01 bdl,0.14 bdl,0.50 bdl,0.24 bdl,0.45 bdl,0.07 bdl,0.40 bdl,0.40 bdl,0.44 bdl,2.24 bdl,1.1,0.11 bdl,0.06 bdl,0.00 bdl,0.01 bdl,0.00 bdl,1.72,0.07 bdl,3.4,0.59 bdl,0.00 bdl,0.01 bdl,0.55 bdl,0.01 bdl,3.42,1.56,0.32 bdl,3.01,0.09 bdl,0.03 bdl,0.04 bdl,0.03 bdl
,WC_24,Wet Center,3/4/2026,2:25 PM,"RV, JC ",Stream,Baseflow,"high in 50s, more snowmelt",42.06,560.41,518.35,Yes,Yes,,,,,2470,,,,Shealyn run while RV on ECU trip,RV_PFAS_07082026,0.00 bdl,0.30 bdl,0.00 bdl,0.55 bdl,1.98 bdl,0.04 bdl,0.02 bdl,0.00 bdl,0.00 bdl,0.08 bdl,0.37 bdl,0.09 bdl,0.31 bdl,0.05 bdl,0.26 bdl,0.30 bdl,0.33 bdl,1.97 bdl,1.41,0.21 bdl,0.06 bdl,0.01 bdl,0.02 bdl,0.00 bdl,1.71,0.05 bdl,3.9,0.74 bdl,0.01 bdl,0.02 bdl,0.61 bdl,0.00 bdl,3.4,1.64,5.53,3.41,0.14 bdl,0.03 bdl,0.04 bdl,0.05 bdl
,WC_25,Wet Center,3/9/2026,2:37 PM,"RV, JC, OW",Stream,Baseflow,High in 60s. Even MORE snowmelt,42.36,571,528.64,Yes,Yes,,,,,2471,,,,Shealyn run while RV on ECU trip,RV_PFAS_07082026,0.00 bdl,0.00 bdl,0.00 bdl,0.74 bdl,0.83 bdl,0.09 bdl,0.02 bdl,0.00 bdl,0.00 bdl,0.05 bdl,0.28 bdl,0.11 bdl,0.25 bdl,0.04 bdl,0.22 bdl,0.24 bdl,0.30 bdl,2.25 bdl,1.22,0.05 bdl,0.02 bdl,0.01 bdl,0.01 bdl,0.01 bdl,1.99,0.03 bdl,3.6,0.56 bdl,0.01 bdl,0.00 bdl,0.50 bdl,0.00 bdl,3.54,1.22,3.53,3.35,0.17 bdl,0.02 bdl,0.06 bdl,0.04 bdl
,WC_26,Wet Center,3/16/2026,3:40 PM,RV,Stream,Baseflow,Very high flow. ~3.5 ft depth,42.02,584.75,542.73,Yes,Yes,,,,,2472,,,,Shealyn run while RV on ECU trip,RV_PFAS_07082026,0.00 bdl,0.14 bdl,0.00 bdl,0.45 bdl,0.78 bdl,0.44 bdl,0.03 bdl,0.01 bdl,0.01 bdl,0.04 bdl,0.21 bdl,0.09 bdl,0.23 bdl,0.07 bdl,0.16 bdl,0.27 bdl,0.23 bdl,0.26 bdl,1.25,0.07 bdl,0.04 bdl,0.00 bdl,0.02 bdl,0.01 bdl,1.62,0.04 bdl,2.31,0.64 bdl,0.01 bdl,0.01 bdl,0.61 bdl,0.00 bdl,3.12,1.54,4.32,2.12,0.09 bdl,0.04 bdl,0.04 bdl,0.06 bdl
,WC_27,Wet Center,3/23/2026,2:30 PM,"RV, JC, OW",Stream,Baseflow,Very high flow. ~3.45 ft depth,41.98,565.65,523.67,Yes,Yes,,,,,2473,,,,Shealyn run while RV on ECU trip,RV_PFAS_07082026,0.00 bdl,0.02 bdl,0.00 bdl,0.51 bdl,0.49 bdl,0.09 bdl,0.00 bdl,0.00 bdl,0.00 bdl,0.09 bdl,0.25 bdl,0.12 bdl,0.25 bdl,0.06 bdl,0.20 bdl,0.28 bdl,0.28 bdl,0.20 bdl,0.78 bdl,0.08 bdl,0.02 bdl,0.00 bdl,0.00 bdl,0.00 bdl,1.14,0.02 bdl,1.67,0.47 bdl,0.00 bdl,0.01 bdl,0.53 bdl,0.02 bdl,2.02,1.32,2.9,1.57 bdl,0.10 bdl,0.03 bdl,0.02 bdl,0.03 bdl
