Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
,Wet Center,10/8/2025,11:06:00 AM,"RV, KW",Stream,Baseflow,Took sample after it rained ~0.5in from 5am-10am,41.4,543.1,501.7,Yes,Yes,Yes but with too small of a filter - only TN,no more sample,no more sample,,2189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center UP,10/8/2025,11:14:00 AM,"RV, KW",Stream,Baseflow,Took sample after it rained ~0.5in from 5am-10am. Murky water being released from undocumented pipe discharging into stream,41.66,549.9,508.24,Yes,Yes,Yes but with too small of a filter - only TN,no more sample,no more sample,,2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF_1010,Wet Center,10/10/2025,8:39 AM,"RV, KW, NA",Stream,Baseflow,"Rained two days prior, really cold outside (~33 deg F)",41.5,552.4,510.9,Yes,Yes,Yes but with too small of a filter - only TN,no more sample,no more sample,Yes,,,,,11/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF_UP_1010,Wet Center UP,10/10/2025,8:48 AM,"RV, KW, NA",Stream,Baseflow,"Rained two days prior, really cold outside (~33 deg F)",42.1,545.4,503.3,Yes,Yes,Yes but with too small of a filter - only TN,no more sample,no more sample,Yes,,,,,11/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_1,Wet Center,10/11/2025,8:53 AM,"RV, XG",Stream,Spatial,1,41.5,559.1,517.6,,Yes,,,,Yes,2194,,,,11/14/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_2,MR Rec Area (picnic tables),10/11/2025,9:55 AM,"RV, XG",Stream,Spatial,2,41.2,560.7,519.5,,Yes,,,,Yes,2198,,,,11/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_3,Puffers Waterfall,10/11/2025,10:38 AM,"RV, XG",Stream,Spatial,3,41.8,560,518.2,,Yes,,,,Yes,2202,,,,11/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_4,Puffers Beach,10/11/2025,10:46 AM,"RV, XG",Stream,Spatial,4,41.8,540.1,498.3,,Yes,,,,Yes,2203,,,,11/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_5,Upper puffers - Railroad,10/11/2025,10:59 AM,"RV, XG",Stream,Spatial,5,41.1,551.3,510.2,,Yes,,,,Yes,2205,,,,11/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_6,Haskin Meadows (fishing spot),10/11/2025,11:57 AM,"RV, XG",Stream,Spatial,6,41.3,561.1,519.8,,Yes,,,,Yes,2206,,,,11/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
